X;CH1;CH2;CH3;CH4;time;Start;Increment
Sequence;Volt;Volt;Volt;Volt;c;-0,12;0,00
755,00;0,02;3,76;1,00;0,20;0,151;;
756,00;0,02;3,68;0,99;0,20;0,1512;;
757,00;0,02;3,80;1,00;0,21;0,1514;;
758,00;0,02;3,68;1,00;0,20;0,1516;;
759,00;0,02;3,80;1,00;0,21;0,1518;;
760,00;0,02;3,76;1,00;0,21;0,152;;
761,00;0,02;3,80;1,00;0,20;0,1522;;
762,00;0,02;3,76;1,01;0,21;0,1524;;
763,00;0,02;3,68;1,00;0,20;0,1526;;
764,00;0,02;3,76;1,00;0,20;0,1528;;
765,00;0,02;3,68;1,02;0,21;0,153;;
766,00;0,02;3,68;1,02;0,21;0,1532;;
767,00;0,02;3,72;1,01;0,20;0,1534;;
768,00;0,02;3,72;1,02;0,21;0,1536;;
769,00;0,02;3,68;1,03;0,20;0,1538;;
770,00;0,02;3,68;1,02;0,20;0,154;;
771,00;0,02;3,72;1,03;0,21;0,1542;;
772,00;0,02;3,72;1,02;0,20;0,1544;;
773,00;0,02;3,68;1,04;0,21;0,1546;;
774,00;0,02;3,72;1,03;0,21;0,1548;;
775,00;0,02;3,68;1,04;0,20;0,155;;
776,00;0,02;3,72;1,04;0,21;0,1552;;
777,00;0,02;3,68;1,05;0,20;0,1554;;
778,00;0,02;3,72;1,04;0,21;0,1556;;
779,00;0,02;3,68;1,06;0,20;0,1558;;
780,00;0,02;3,72;1,05;0,21;0,156;;
781,00;0,02;3,68;1,06;0,20;0,1562;;
782,00;0,02;3,68;1,06;0,20;0,1564;;
783,00;0,02;3,72;1,07;0,21;0,1566;;
784,00;0,02;3,68;1,06;0,21;0,1568;;
785,00;0,02;3,72;1,08;0,20;0,157;;
786,00;0,02;3,68;1,07;0,20;0,1572;;
787,00;0,02;3,72;1,08;0,21;0,1574;;
788,00;0,02;3,68;1,08;0,21;0,1576;;
789,00;0,02;3,72;1,09;0,20;0,1578;;
790,00;0,02;3,68;1,08;0,20;0,158;;
791,00;0,02;3,72;1,10;0,21;0,1582;;
792,00;0,02;3,68;1,09;0,20;0,1584;;
793,00;0,02;3,72;1,11;0,21;0,1586;;
794,00;0,02;3,68;1,10;0,20;0,1588;;
795,00;0,02;3,72;1,12;0,21;0,159;;
796,00;0,02;3,68;1,11;0,20;0,1592;;
797,00;0,02;3,72;1,12;0,21;0,1594;;
798,00;0,02;3,68;1,12;0,20;0,1596;;
799,00;0,02;3,72;1,13;0,21;0,1598;;
800,00;0,02;3,72;1,12;0,20;0,16;;
801,00;0,02;3,68;1,14;0,21;0,1602;;
802,00;0,02;3,72;1,13;0,21;0,1604;;
803,00;0,02;3,68;1,14;0,20;0,1606;;
804,00;0,02;3,72;1,14;0,21;0,1608;;
805,00;0,02;3,68;1,15;0,20;0,161;;
806,00;0,02;3,72;1,15;0,20;0,1612;;
807,00;0,02;3,68;1,16;0,21;0,1614;;
808,00;0,02;3,72;1,16;0,20;0,1616;;
809,00;0,02;3,68;1,17;0,21;0,1618;;
810,00;0,02;3,68;1,17;0,21;0,162;;
811,00;0,02;3,72;1,18;0,20;0,1622;;
812,00;0,02;3,68;1,18;0,21;0,1624;;
813,00;0,02;3,72;1,18;0,20;0,1626;;
814,00;0,02;3,72;1,18;0,21;0,1628;;
815,00;0,02;3,68;1,20;0,20;0,163;;
816,00;0,02;3,72;1,19;0,21;0,1632;;
817,00;0,02;3,68;1,20;0,20;0,1634;;
818,00;0,02;3,72;1,20;0,21;0,1636;;
819,00;0,02;3,68;1,21;0,20;0,1638;;
820,00;0,02;3,68;1,21;0,20;0,164;;
821,00;0,02;3,72;1,22;0,21;0,1642;;
822,00;0,02;3,68;1,22;0,20;0,1644;;
823,00;0,02;3,72;1,22;0,21;0,1646;;
824,00;0,02;3,68;1,22;0,20;0,1648;;
825,00;0,02;3,72;1,23;0,21;0,165;;
826,00;0,02;3,72;1,23;0,21;0,1652;;
827,00;0,02;3,68;1,24;0,20;0,1654;;
828,00;0,02;3,68;1,24;0,20;0,1656;;
829,00;0,02;3,72;1,25;0,21;0,1658;;
830,00;0,02;3,72;1,24;0,21;0,166;;
831,00;0,02;3,68;1,26;0,20;0,1662;;
832,00;0,02;3,68;1,25;0,21;0,1664;;
833,00;0,02;3,72;1,26;0,20;0,1666;;
834,00;0,02;3,68;1,26;0,21;0,1668;;
835,00;0,02;3,72;1,27;0,20;0,167;;
836,00;0,02;3,72;1,27;0,21;0,1672;;
837,00;0,02;3,68;1,28;0,20;0,1674;;
838,00;0,02;3,72;1,27;0,21;0,1676;;
839,00;0,02;3,68;1,29;0,20;0,1678;;
840,00;0,02;3,68;1,28;0,21;0,168;;
841,00;0,02;3,76;1,29;0,20;0,1682;;
842,00;0,02;3,68;1,28;0,21;0,1684;;
843,00;0,02;3,76;1,30;0,20;0,1686;;
844,00;0,02;3,68;1,29;0,21;0,1688;;
845,00;0,02;3,76;1,31;0,20;0,169;;
846,00;0,02;3,72;1,30;0,21;0,1692;;
847,00;0,02;3,68;1,32;0,20;0,1694;;
848,00;0,02;3,68;1,31;0,21;0,1696;;
849,00;0,02;3,72;1,32;0,20;0,1698;;
850,00;0,02;3,72;1,31;0,20;0,17;;
851,00;0,02;3,68;1,32;0,21;0,1702;;
852,00;0,02;3,68;1,32;0,20;0,1704;;
853,00;0,02;3,76;1,33;0,22;0,1706;;
854,00;0,02;3,68;1,32;0,21;0,1708;;
855,00;0,02;3,80;1,34;0,34;0,171;;
856,00;0,02;3,76;1,33;0,34;0,1712;;
857,00;0,02;3,80;1,34;0,65;0,1714;;
858,00;0,02;3,76;1,34;0,65;0,1716;;
859,00;0,02;3,80;1,34;0,65;0,1718;;
